Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
25,38,2011,4,195000.0,1800.0,2,1,7750.0
20,24,2014,10,135000.0,1500.0,0,0,8550.0
27,23,1998,4,1.0,1400.0,4,0,2200.0
20,34,2012,10,110000.0,1500.0,0,0,6550.0
16,7,2006,10,200000.0,1600.0,3,0,4100.0
13,55,2000,5,300000.0,2200.0,0,0,3490.0
27,36,2010,10,290000.0,1390.0,4,0,5600.0
27,34,2010,8,220000.0,2400.0,0,1,17000.0
13,47,1991,9,240000.0,2300.0,4,0,2850.0
1,1,2004,9,325000.0,300.0,0,0,3400.0
13,19,2010,9,210000.0,2200.0,0,1,11400.0
13,34,2006,2,300000.0,3200.0,0,1,11800.0
9,34,2005,10,23.0,1300.0,4,0,1550.0
1,2,1998,9,285000.0,3500.0,4,0,3990.0
27,23,2007,10,238371.0,1400.0,4,1,5000.0
27,34,2010,4,150000.0,1200.0,4,0,5500.0
28,58,2012,3,180000.0,2400.0,0,1,15900.0
15,40,2011,3,251000.0,1500.0,0,0,8300.0
8,34,2005,10,383000.0,1500.0,0,0,3200.0
0,34,2009,4,248000.0,2000.0,0,1,9299.0
13,19,2004,10,315000.0,1800.0,3,0,6900.0
17,34,1992,9,68000.0,2445.0,4,0,2222.0
20,31,2011,10,171000.0,1500.0,0,0,5700.0
17,34,2013,4,113000.0,367.0,1,1,27000.0
13,19,2014,9,275500.0,2200.0,0,1,18350.0
17,34,2017,9,157000.0,1998.0,2,1,17800.0
11,34,2017,3,76000.0,1998.0,4,1,27999.0
17,34,2008,4,113486.0,1998.0,3,1,4495.0
13,34,2000,4,1.0,1400.0,4,0,2100.0
0,34,1993,9,235000.0,2000.0,4,0,2950.0
19,14,2012,3,253444.0,3000.0,0,1,30222.0
11,41,2009,8,250000.0,3500.0,2,1,17990.0
27,36,2012,9,179000.0,1400.0,3,1,9800.0
1,34,2015,3,169777.0,2000.0,0,1,16888.0
13,34,2017,3,71333.0,2500.0,0,1,43404.0
16,54,1994,9,340000.0,1800.0,4,0,1500.0
1,2,2007,9,300000.0,3000.0,0,1,11500.0
13,19,2013,10,300.0,2200.0,0,1,11000.0
27,51,2004,6,280000.0,200.0,0,1,5300.0
25,34,1996,9,0.0,1800.0,4,0,1800.0
27,36,2010,10,228000.0,1400.0,3,1,5700.0
25,8,2010,9,185000.0,1400.0,0,0,6500.0
15,40,2009,4,200415.0,1500.0,0,0,6200.0
1,0,2016,6,136000.0,2000.0,0,1,13200.0
1,1,2003,9,250000.0,3000.0,4,1,7490.0
12,34,1988,9,345.0,3000.0,3,0,2100.0
4,28,2014,9,195000.0,1200.0,3,0,3999.0
4,18,2015,8,170000.0,1500.0,0,0,8800.0
27,23,2010,10,191500.0,1400.0,4,0,5700.0
13,55,1999,6,1.0,2300.0,0,0,4150.0
27,51,2013,6,1.0,1200.0,4,0,7599.0
27,36,1991,9,292000.0,1800.0,4,0,1150.0
1,0,2004,9,250000.0,2000.0,0,0,4499.0
15,40,2015,3,158000.0,1500.0,0,0,11750.0
18,34,2018,3,132000.0,1500.0,0,1,16500.0
26,34,1990,9,9999999.0,1300.0,4,0,3500.0
1,57,2005,8,260500.0,3000.0,4,1,8999.0
20,31,2005,10,11111.0,1500.0,0,0,3200.0
15,40,2013,8,180000.0,1500.0,0,0,8999.0
6,34,2012,6,151658.0,1800.0,0,0,3899.0
20,46,2015,5,185480.0,1461.0,0,0,7550.0
1,2,2009,9,215210.0,3000.0,0,1,16500.0
27,37,2007,4,305988.0,1400.0,0,0,3250.0
1,1,2014,9,231250.0,2000.0,0,1,18000.0
26,34,2004,6,12000.0,1700.0,4,0,1800.0
1,1,1998,9,11111.0,2500.0,4,0,3200.0
15,34,2014,4,87100.0,1200.0,4,0,7950.0
25,9,2000,9,420000.0,1600.0,3,0,2999.0
21,34,2002,6,2.0,2000.0,4,0,4299.0
7,11,2002,10,275100.0,2000.0,4,0,5900.0
1,1,2015,9,180236.0,2000.0,0,1,21500.0
7,11,2010,3,183000.0,2200.0,0,0,12999.0
15,34,2011,4,195000.0,1500.0,0,0,5250.0
27,36,1993,10,311254.0,2000.0,3,0,29000.0
16,7,2010,4,190000.0,1300.0,0,0,6500.0
22,34,2016,10,116000.0,1598.0,4,1,10300.0
27,34,2006,6,250000.0,2000.0,0,0,6900.0
11,34,2009,9,149.0,3490.0,3,1,10499.0
15,40,2015,3,149000.0,1200.0,4,1,12500.0
22,49,2016,9,170000.0,2000.0,0,1,17490.0
25,34,2001,8,250000.0,4700.0,3,1,9990.0
25,38,2008,4,1.0,1500.0,2,1,6800.0
25,16,2006,10,256000.0,1400.0,0,0,5490.0
12,34,2002,8,255000.0,2000.0,4,0,3990.0
2,34,2011,4,190000.0,1400.0,5,1,9150.0
13,34,2019,3,24000.0,3000.0,4,1,51000.0
27,36,2002,10,270000.0,1800.0,4,0,2550.0
27,34,2010,8,235000.0,3000.0,0,1,20950.0
1,1,2000,9,254604.0,2500.0,4,0,4500.0
20,31,2009,10,165000.0,1500.0,0,0,4999.0
25,34,2017,3,115000.0,1800.0,2,1,17999.0
1,2,1998,9,350000.0,3500.0,4,0,3990.0
13,19,2012,9,150000.0,2500.0,0,1,14490.0
0,34,2018,4,31091.0,3000.0,4,1,35500.0
20,34,2006,4,280000.0,1461.0,0,0,4299.0
23,34,2011,5,176.0,1400.0,0,0,5800.0
3,34,2012,4,145000.0,1400.0,0,1,6899.0
0,4,1997,9,29800.0,2400.0,3,0,2750.0
6,22,2013,9,178000.0,2000.0,2,1,9290.0
25,38,2014,9,140000.0,800.0,5,1,11200.0
27,34,1993,9,300000.0,1800.0,4,0,1700.0
5,34,2003,4,1.0,1200.0,4,0,2650.0
9,34,2009,4,1.0,1600.0,0,0,4700.0
20,34,2017,3,129000.0,1500.0,0,1,10990.0
11,34,2012,4,193000.0,1800.0,2,1,10950.0
28,58,2010,8,202000.0,2400.0,0,1,14750.0
4,34,2013,6,209000.0,1500.0,0,0,5750.0
8,34,2010,4,145000.0,1400.0,4,0,4750.0
11,34,2012,4,194000.0,1800.0,2,1,9999.0
28,59,2008,8,249000.0,2400.0,0,0,11500.0
8,34,2008,4,142000.0,1100.0,4,0,3499.0
13,34,2005,4,260000.0,1500.0,3,1,4750.0
13,10,2002,2,240000.0,2300.0,4,0,3499.0
17,34,2012,9,120000.0,2200.0,0,1,15999.0
13,19,2010,9,182000.0,1800.0,4,1,11750.0
22,33,2005,10,300000.0,2000.0,4,0,4999.0
16,7,2008,10,310000.0,1300.0,0,0,4850.0
22,49,2014,9,186000.0,1600.0,0,1,12300.0
27,34,2011,7,150000.0,2000.0,0,0,12800.0
13,55,2000,6,258000.0,2200.0,0,1,2999.0
13,19,2000,9,999.0,2000.0,4,1,3199.0
25,8,2010,4,1.0,1400.0,2,1,8990.0
15,40,2016,3,151000.0,1500.0,0,0,13890.0
1,1,2018,9,46000.0,2000.0,4,1,27650.0
20,31,2010,10,257110.0,1500.0,0,0,4999.0
6,32,2016,9,167000.0,1500.0,0,0,12990.0
25,34,2018,3,114000.0,1800.0,2,1,16750.0
15,40,2017,3,157600.0,1500.0,0,0,11990.0
25,8,2014,10,190000.0,1800.0,2,1,8990.0
25,34,2017,3,119000.0,1800.0,2,1,18790.0
18,34,2018,3,145000.0,1500.0,0,1,16790.0
20,26,2016,3,150200.0,1500.0,0,1,13450.0
11,34,2015,8,149000.0,2500.0,2,1,21750.0
27,36,2006,9,216000.0,2000.0,4,1,5350.0
17,34,2016,3,88000.0,1500.0,0,1,15790.0
14,34,2002,9,4.0,1800.0,4,1,2700.0
22,49,2004,9,1.0,1800.0,4,0,3600.0
13,55,2003,5,1.0,2200.0,0,0,4600.0
3,34,2001,6,68286164.0,1900.0,0,0,2050.0
27,36,2007,10,320000.0,1600.0,3,0,5999.0
8,34,2006,4,298000.0,1500.0,0,0,2999.0
7,15,2017,4,27138.0,1500.0,4,1,13300.0
1,1,2006,9,1.0,2500.0,4,1,6350.0
20,26,2016,3,140000.0,1500.0,0,1,12400.0
22,33,2012,9,166000.0,1600.0,0,1,8990.0
27,23,2000,4,1.0,1400.0,4,0,2750.0
22,49,2009,9,223000.0,2000.0,0,1,8990.0
25,16,2006,10,198563.0,1400.0,0,1,5350.0
28,34,2000,9,202698.0,2800.0,4,1,3999.0
10,34,2000,8,230000.0,2000.0,0,0,2750.0
1,1,2018,9,82000.0,2000.0,0,1,34000.0
27,36,1995,10,250369.0,1800.0,4,0,2700.0
9,34,2005,9,250632.0,2000.0,3,0,2690.0
21,34,1998,1,300000.0,1900.0,0,0,1450.0
22,20,2012,6,165500.0,1200.0,0,0,5100.0
22,33,2010,4,1.0,1390.0,4,0,6099.0
14,35,2011,8,248000.0,2000.0,4,1,9900.0
6,21,2016,10,170000.0,1499.0,0,0,8890.0
20,31,2008,10,245000.0,1500.0,0,0,3600.0
7,15,1999,10,290000.0,1500.0,4,0,1800.0
8,53,2014,3,120000.0,200.0,3,1,12000.0
25,9,2004,9,300.0,2000.0,4,0,5000.0
20,34,2007,9,211000.0,1400.0,4,0,2900.0
0,3,2012,9,166700.0,2000.0,4,1,10200.0
0,34,2016,4,145000.0,1400.0,1,1,16450.0
11,34,2014,9,81700.0,1800.0,2,1,12450.0
25,8,2013,10,142865.0,1400.0,0,0,8700.0
26,34,2007,9,135865.0,1400.0,4,0,1500.0
20,24,2013,6,181000.0,1500.0,0,1,7000.0
22,33,2014,10,155000.0,1400.0,4,1,9700.0
22,33,2015,9,164000.0,1600.0,0,1,12750.0
27,34,2010,2,150589.0,1400.0,4,0,7999.0
6,21,2015,10,152523.0,1500.0,0,1,9300.0
16,7,2007,10,190000.0,1300.0,0,0,4499.0
25,9,2014,10,165000.0,2000.0,0,0,15600.0
1,2,2006,9,260000.0,3000.0,0,1,11000.0
25,8,2011,4,182251.0,1798.0,2,1,8200.0
5,34,2008,4,185000.0,1300.0,0,1,3600.0
2,34,2012,4,187000.0,1300.0,0,0,4600.0
20,31,2005,9,190000.0,1500.0,0,0,3200.0
1,57,2007,3,250.0,3000.0,0,1,7100.0
24,34,2005,8,400000.0,2700.0,4,1,5500.0
27,23,2010,4,225550.0,2000.0,4,1,9650.0
17,34,2003,4,220000.0,1400.0,4,0,2000.0
15,34,2003,4,90000.0,1500.0,4,0,1000.0
20,24,2013,6,165000.0,1500.0,0,0,7500.0
7,34,2018,4,36000.0,1500.0,5,1,18499.0
25,34,2015,6,102000.0,1800.0,4,1,12500.0
1,1,2004,9,2899.0,2500.0,4,0,6100.0
14,35,2003,3,208367.0,2000.0,4,0,4600.0
27,51,2011,6,168000.0,1400.0,4,0,7999.0
25,34,2019,4,2500.0,1800.0,5,1,18999.0
9,34,2017,3,0.0,2200.0,0,1,21490.0
27,52,2004,5,190000.0,1896.0,0,0,6300.0
22,33,2011,10,210000.0,1400.0,4,0,6400.0
17,34,2014,9,160000.0,2000.0,2,1,12200.0
20,46,2004,10,180000.0,1500.0,0,0,3300.0
13,34,1984,10,100000.0,2400.0,0,0,1000.0
25,34,2007,3,202000.0,2700.0,3,1,14600.0
27,37,2017,4,170000.0,1422.0,0,0,8200.0
21,34,2001,4,1288776.0,1400.0,4,0,1400.0
25,16,2005,4,252.0,1400.0,0,0,4600.0
27,25,2013,9,198000.0,1400.0,2,1,8400.0
9,34,2004,10,183454.0,1300.0,4,0,2500.0
1,34,2013,3,104000.0,2979.0,4,1,30900.0
25,16,2006,4,119000.0,1600.0,4,1,5700.0
16,17,2007,4,283000.0,1300.0,0,0,3499.0
25,8,2017,4,146000.0,1800.0,2,1,11900.0
15,40,2009,3,202000.0,1990.0,4,0,7100.0
6,34,2016,5,141000.0,1500.0,0,0,9000.0
20,31,2013,6,220000.0,1500.0,0,0,5000.0
20,24,2008,4,232012.0,1500.0,0,0,3700.0
9,34,2018,8,38999.0,2000.0,0,1,24800.0
15,40,2014,3,219000.0,1500.0,0,0,10999.0
10,34,2007,8,300000.0,2200.0,0,1,9200.0
12,34,1994,9,300000.0,200.0,3,0,18000.0
25,38,2011,4,121000.0,1800.0,2,1,7900.0
8,34,2004,10,250000.0,1500.0,0,0,4000.0
16,60,2002,6,11111111.0,2000.0,3,0,3700.0
25,8,2014,10,200000.0,1390.0,0,0,8600.0
0,39,2013,8,143000.0,2000.0,4,1,17850.0
27,12,2013,10,174000.0,2000.0,0,0,9650.0
27,23,2009,10,200000.0,1400.0,4,0,4800.0
27,34,1994,9,68204075.0,1800.0,4,0,1550.0
15,40,2007,3,137660.0,1500.0,0,0,6600.0
16,7,2011,10,213548.0,1300.0,0,0,5650.0
25,34,2006,9,193096.0,1500.0,4,0,3700.0
16,34,1992,2,400000.0,2000.0,3,0,1600.0
20,26,2016,3,150425.0,1500.0,0,1,14990.0
6,22,2018,9,105000.0,2000.0,2,1,15000.0
27,36,2000,1,191000.0,1800.0,3,1,3850.0
20,34,1998,4,129448.0,1600.0,4,1,2399.0
20,34,2015,6,168000.0,1600.0,0,1,18650.0
1,0,1994,9,180000.0,1600.0,4,0,2400.0
25,38,2016,4,0.0,1800.0,2,1,12350.0
22,34,2015,3,150000.0,1400.0,4,1,11000.0
10,34,2007,8,223000.0,2700.0,0,1,15000.0
27,34,2011,10,141000.0,1400.0,4,0,9800.0
4,34,2013,10,0.0,1500.0,0,0,7490.0
27,36,2003,9,250000.0,1922.0,0,1,4600.0
13,19,2006,9,250000.0,2200.0,0,1,9999.0
16,7,2011,10,176000.0,1300.0,0,0,6000.0
0,3,2008,10,275.0,2000.0,4,1,7999.0
20,24,2014,10,167000.0,1500.0,0,1,8600.0
4,28,2009,10,1.0,1600.0,3,0,3600.0
1,2,2008,9,387000.0,300.0,4,1,12000.0
1,2,2011,9,180000.0,2999.0,0,1,22000.0
18,34,2006,6,170000.0,2000.0,0,1,2000.0
7,11,2013,8,178500.0,2200.0,0,0,15700.0
22,49,2012,9,265000.0,1800.0,4,1,8999.0
13,19,2002,9,331200.0,2200.0,0,1,6399.0
22,49,2017,9,120000.0,1999.0,4,1,23900.0
1,1,2011,9,123.0,2000.0,0,1,16600.0
27,25,2013,9,110000.0,1400.0,2,1,8000.0
8,34,2010,7,190000.0,2000.0,0,1,12000.0
25,34,2014,4,144947.0,1496.0,2,1,7499.0
20,24,2012,10,180000.0,1500.0,0,0,7499.0
1,57,2012,8,157000.0,3000.0,4,1,17499.0
20,34,2016,9,151130.0,1500.0,0,0,12499.0
16,34,2005,4,0.0,1400.0,4,0,3550.0
20,31,2006,10,170000.0,2000.0,3,0,2900.0
15,34,2011,8,155000.0,1600.0,4,1,9300.0
23,34,2011,4,116000.0,1400.0,0,1,7300.0
