Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Year_norm
Toyota,Prius,2011.0,Hatchback,195000.0,1800.0,Hybrid,1,7750.0,0.7560975609756098
Renault,Grand Scenic,2014.0,Universal,135000.0,1500.0,Diesel,0,8550.0,0.8292682926829268
Volkswagen,Golf,1998.0,Hatchback,1.0,1400.0,Petrol,0,2200.0,0.43902439024390244
Renault,Other,2012.0,Universal,110000.0,1500.0,Diesel,0,6550.0,0.7804878048780488
Opel,Astra,2006.0,Universal,200000.0,1600.0,Metan/Propan,0,4100.0,0.6341463414634146
Mercedes,Vito,2000.0,Microvan,300000.0,2200.0,Diesel,0,3490.0,0.4878048780487805
Volkswagen,Passat,2010.0,Universal,290000.0,1390.0,Petrol,0,5600.0,0.7317073170731707
Volkswagen,Other,2010.0,SUV,220000.0,2400.0,Diesel,1,17000.0,0.7317073170731707
Mercedes,Series (W124),1991.0,Sedan,240000.0,2300.0,Petrol,0,2850.0,0.2682926829268293
Mercedes,E Class,2010.0,Sedan,210000.0,2200.0,Diesel,1,11400.0,0.7317073170731707
Mercedes,Other,2006.0,Coupe,300000.0,3200.0,Diesel,1,11800.0,0.6341463414634146
KIA,Other,2005.0,Universal,23.0,1300.0,Petrol,0,1550.0,0.6097560975609756
BMW,7 Series,1998.0,Sedan,285000.0,3500.0,Petrol,0,3990.0,0.43902439024390244
Volkswagen,Golf,2007.0,Universal,238371.0,1400.0,Petrol,1,5000.0,0.6585365853658537
Volkswagen,Other,2010.0,Hatchback,150000.0,1200.0,Petrol,0,5500.0,0.7317073170731707
Volvo,XC60,2012.0,Crossover,180000.0,2400.0,Diesel,1,15900.0,0.7804878048780488
Nissan,Qashqai,2011.0,Crossover,251000.0,1500.0,Diesel,0,8300.0,0.7560975609756098
Hyundai,Other,2005.0,Universal,383000.0,1500.0,Diesel,0,3200.0,0.6097560975609756
Audi,Other,2009.0,Hatchback,248000.0,2000.0,Diesel,1,9299.0,0.7073170731707317
Mercedes,E Class,2004.0,Universal,315000.0,1800.0,Metan/Propan,0,6900.0,0.5853658536585366
Other,Other,1992.0,Sedan,68000.0,2445.0,Petrol,0,2222.0,0.2926829268292683
Renault,Megane,2011.0,Universal,171000.0,1500.0,Diesel,0,5700.0,0.7560975609756098
Mercedes,E Class,2014.0,Sedan,275500.0,2200.0,Diesel,1,18350.0,0.8292682926829268
Other,Other,2017.0,Sedan,157000.0,1998.0,Hybrid,1,17800.0,0.9024390243902439
Lexus,Other,2017.0,Crossover,76000.0,1998.0,Petrol,1,27999.0,0.9024390243902439
Other,Other,2008.0,Hatchback,113486.0,1998.0,Metan/Propan,1,4495.0,0.6829268292682927
Mercedes,Other,2000.0,Hatchback,1.0,1400.0,Petrol,0,2100.0,0.4878048780487805
Audi,Other,1993.0,Sedan,235000.0,2000.0,Petrol,0,2950.0,0.3170731707317073
Porsche,Cayenne,2012.0,Crossover,253444.0,3000.0,Diesel,1,30222.0,0.7804878048780488
Lexus,RX Series,2009.0,SUV,250000.0,3500.0,Hybrid,1,17990.0,0.7073170731707317
Volkswagen,Passat,2012.0,Sedan,179000.0,1400.0,Metan/Propan,1,9800.0,0.7804878048780488
BMW,Other,2015.0,Crossover,169777.0,2000.0,Diesel,1,16888.0,0.8536585365853658
Mercedes,Other,2017.0,Crossover,71333.0,2500.0,Diesel,1,43404.0,0.9024390243902439
Opel,Vectra,1994.0,Sedan,340000.0,1800.0,Petrol,0,1500.0,0.34146341463414637
BMW,7 Series,2007.0,Sedan,300000.0,3000.0,Diesel,1,11500.0,0.6585365853658537
Mercedes,E Class,2013.0,Universal,300.0,2200.0,Diesel,1,11000.0,0.8048780487804879
Toyota,Other,1996.0,Sedan,0.0,1800.0,Petrol,0,1800.0,0.3902439024390244
Volkswagen,Passat,2010.0,Universal,228000.0,1400.0,Metan/Propan,1,5700.0,0.7317073170731707
Toyota,Auris,2010.0,Sedan,185000.0,1400.0,Diesel,0,6500.0,0.7317073170731707
Nissan,Qashqai,2009.0,Hatchback,200415.0,1500.0,Diesel,0,6200.0,0.7073170731707317
BMW,3 Series,2016.0,Minivan,136000.0,2000.0,Diesel,1,13200.0,0.8780487804878049
BMW,5 Series,2003.0,Sedan,250000.0,3000.0,Petrol,1,7490.0,0.5609756097560976
Mazda,Other,1988.0,Sedan,345.0,3000.0,Metan/Propan,0,2100.0,0.1951219512195122
Dacia,Logan,2014.0,Sedan,195000.0,1200.0,Metan/Propan,0,3999.0,0.8292682926829268
Dacia,Duster,2015.0,SUV,170000.0,1500.0,Diesel,0,8800.0,0.8536585365853658
Volkswagen,Golf,2010.0,Universal,191500.0,1400.0,Petrol,0,5700.0,0.7317073170731707
Mercedes,Vito,1999.0,Minivan,1.0,2300.0,Diesel,0,4150.0,0.4634146341463415
Volkswagen,Touran,2013.0,Minivan,1.0,1200.0,Petrol,0,7599.0,0.8048780487804879
Volkswagen,Passat,1991.0,Sedan,292000.0,1800.0,Petrol,0,1150.0,0.2682926829268293
BMW,3 Series,2004.0,Sedan,250000.0,2000.0,Diesel,0,4499.0,0.5853658536585366
Nissan,Qashqai,2015.0,Crossover,158000.0,1500.0,Diesel,0,11750.0,0.8536585365853658
Peugeot,Other,2018.0,Crossover,132000.0,1500.0,Diesel,1,16500.0,0.926829268292683
BMW,X5,2005.0,SUV,260500.0,3000.0,Petrol,1,8999.0,0.6097560975609756
Renault,Megane,2005.0,Universal,11111.0,1500.0,Diesel,0,3200.0,0.6097560975609756
Nissan,Qashqai,2013.0,SUV,180000.0,1500.0,Diesel,0,8999.0,0.8048780487804879
Ford,Other,2012.0,Minivan,151658.0,1800.0,Diesel,0,3899.0,0.7804878048780488
Renault,Scenic,2015.0,Microvan,185480.0,1461.0,Diesel,0,7550.0,0.8536585365853658
BMW,7 Series,2009.0,Sedan,215210.0,3000.0,Diesel,1,16500.0,0.7073170731707317
Volkswagen,Polo,2007.0,Hatchback,305988.0,1400.0,Diesel,0,3250.0,0.6585365853658537
BMW,5 Series,2014.0,Sedan,231250.0,2000.0,Diesel,1,18000.0,0.8292682926829268
Vaz,Other,2004.0,Minivan,12000.0,1700.0,Petrol,0,1800.0,0.5853658536585366
BMW,5 Series,1998.0,Sedan,11111.0,2500.0,Petrol,0,3200.0,0.43902439024390244
Nissan,Other,2014.0,Hatchback,87100.0,1200.0,Petrol,0,7950.0,0.8292682926829268
Toyota,Avensis,2000.0,Sedan,420000.0,1600.0,Metan/Propan,0,2999.0,0.4878048780487805
